,model,prior,duplicates_level,distortion_level,num_iter,precision_median,recall_median,f1score_median,precision_std,recall_std,f1score_std
154,None,Bounded NBD,Medium,Low,10000,1.0,0.9191919,0.9578947,0.0004903697074657002,0.00221301822134393,0.0012475267166319516
155,None,Bounded NBD,Medium,Low,50000,1.0,0.9292929,0.9633508,0.00048504786567924596,0.003435590670107012,0.0018328215349707572
156,None,Bounded NBD,Very High,High,10000,0.9959709999999999,0.82997985,0.9041596000000001,0.002700954176714311,0.004382380644304985,0.003233559360873016
157,None,Bounded NBD,Very High,High,50000,0.9960064,0.8383635,0.9103825000000001,0.0017466871068879018,0.0027790082221805937,0.0018561612870242052
158,None,Bounded NBD,Very High,Low,10000,1.0,0.921762,0.9592884,0.0,0.0,0.0
159,None,Bounded NBD,Very High,Low,50000,1.0,0.92241945,0.9596442000000001,0.0,0.0007225702565549682,0.0003910020286660932
160,None,Pitman,High,High,10000,0.9969278,0.7833733,0.87626315,0.003350389388068844,0.0031218715587516075,0.0024987386383144047
161,None,Pitman,High,High,50000,1.0,0.8013589,0.88893825,0.0024833093955816594,0.0031013338152614664,0.0021624261352520334
162,None,Pitman,High,Low,10000,1.0,0.9353035,0.9665704,0.0,0.0014164086792325433,0.0007557068864210471
163,None,Pitman,High,Low,50000,1.0,0.9404952,0.9693352,0.0,0.001749904865955505,0.0009302016018047095
164,None,Pitman,Low,High,10000,0.9272727,0.85,0.8869565,0.010853117475389503,0.0037267874160595424,0.0054842490634159895
165,None,Pitman,Low,High,50000,0.93585855,0.85,0.8908466500000001,0.010308769546673407,0.0,0.004688711112471144
166,None,Pitman,Low,Low,10000,0.9836066,0.952381,0.9677419,0.009379353790438347,0.0,0.004560911317209275
167,None,Pitman,Low,Low,50000,0.9836066,0.952381,0.9677419,0.00797398991865031,0.0,0.0038912700871242306
168,None,Pitman,Medium,High,10000,0.9926471,0.8347023,0.9050279,0.006261689088692229,0.006964159554709181,0.004797760739989451
169,None,Pitman,Medium,High,50000,0.99280575,0.8480493,0.91551715,0.003214656211380679,0.005436830843413727,0.0037450172489624433
170,None,Pitman,Medium,Low,10000,1.0,0.9191919,0.9578947,0.0004903697074657002,0.0020095392395692514,0.0011323770826637664
171,None,Pitman,Medium,Low,50000,1.0,0.9232323,0.960084,0.0,0.004012392268420941,0.0021642315570427786
172,None,Pitman,Very High,High,10000,0.9947655,0.82930915,0.90443055,0.002022954176517483,0.003436957330221475,0.002395274212952838
173,None,Pitman,Very High,High,50000,0.9968064,0.8403756,0.911936,0.001277834446240966,0.0032047202887385538,0.002107535453475904
174,None,Pitman,Very High,Low,10000,1.0,0.921762,0.9592884,0.0,0.00029402057836144845,0.00015911859727886748
175,None,Pitman,Very High,Low,50000,1.0,0.92241945,0.9596442000000001,0.0,0.0009509562121747272,0.0005143366126943498
176,None,uniform,High,High,10000,1.0,0.78057555,0.8765155,0.001243646860214362,0.003227803932527824,0.002110324266496303
177,None,uniform,High,High,50000,1.0,0.7913669,0.8835341,0.0006762316777554818,0.004208099752079013,0.0026523824908938082
178,None,uniform,High,Low,10000,1.0,0.9353035,0.9665704,0.0,0.001563447596112366,0.0008341099781550745
179,None,uniform,High,Low,50000,1.0,0.9408946,0.9695473,0.0,0.00180422672034164,0.0009585174918097533
180,None,uniform,Low,High,10000,0.26493685,0.85,0.40396200000000004,0.007543771080964746,0.0,0.008787722085536822
