,model,prior,duplicates_level,distortion_level,num_iter,precision_median,recall_median,f1score_median,precision_std,recall_std,f1score_std,precision_lower_bound,precision_upper_bound,recall_lower_bound,recall_upper_bound,f1score_lower_bound,f1score_upper_bound
62,No Diri,Bounded NBD,Very High,Low,10000,1.0,0.921762,0.9592884,0.0,0.0010552913166639302,0.0005721832481589105,1.0,1.0,0.9196909799999999,0.9234220875,0.958164585,0.960186585
63,No Diri,Bounded NBD,Very High,Low,50000,1.0,0.9230769,0.96,0.0,0.0012272145957732813,0.0006635558165551406,1.0,1.0,0.921762,0.9250493,0.9592884,0.9610656
64,No Diri,Pitman,High,High,10000,0.9960842,0.8133493,0.89529255,0.0018606202548442667,0.0035879975085803422,0.00233490297296438,0.99255145,1.0,0.8097522,0.8214029025,0.8923166125,0.9003642350000001
65,No Diri,Pitman,High,High,50000,0.996139,0.82494,0.9024923,0.0006492019723840845,0.003143344581689499,0.0019654204928087554,0.9946028,0.9961633275,0.819724215,0.83019585,0.89924858,0.9056381375
66,No Diri,Pitman,High,Low,10000,1.0,0.93610225,0.96699655,0.0,0.0020908629785959722,0.0011141490479048628,1.0,1.0,0.9337061,0.9408946,0.9657166,0.9695473
67,No Diri,Pitman,High,Low,50000,1.0,0.9408946,0.9695473,0.0,0.001716983881993771,0.000911183837523017,1.0,1.0,0.9384984,0.9441293875,0.9682736,0.9712616825
68,No Diri,Pitman,Low,High,10000,0.8928571,0.8333333,0.862069,0.013630865043232443,0.00683986936027903,0.007186403215127511,0.877193,0.917929275,0.8333333,0.85,0.8547009,0.8746289025
69,No Diri,Pitman,Low,High,50000,0.8928571,0.8333333,0.862069,0.0032803890613446736,0.008156024394176014,0.00452385994587531,0.8857450299999999,0.8947368,0.8333333,0.85,0.862069,0.8717949
70,No Diri,Pitman,Low,Low,10000,0.8759590500000001,0.952381,0.9125607,0.029309625974005164,0.0,0.015352872689400717,0.8571429,0.9604454725,0.952381,0.952381,0.9022556,0.956380975
71,No Diri,Pitman,Low,Low,50000,0.8695652,0.952381,0.9090909,0.0070969640539644205,0.0,0.003842701506858904,0.8630434925,0.8892668875,0.952381,0.952381,0.9055023675,0.91972986
72,No Diri,Pitman,Medium,High,10000,0.9857988,0.8562628,0.9164835,0.004179761537254948,0.004854640156676459,0.003679825736044821,0.97755909,0.9905447675,0.849024665,0.8655544350000001,0.910409685,0.9227723975
73,No Diri,Pitman,Medium,High,50000,0.9882629,0.8644764,0.9222344,0.0029024598641542135,0.003331054661499085,0.0026274948145524504,0.9835433650000001,0.994156885,0.85616013,0.8655544350000001,0.91637361,0.9248710925
74,No Diri,Pitman,Medium,Low,10000,1.0,0.9232323,0.960084,0.0012803318348648513,0.003643441525694885,0.002005049962653503,0.9966707425,1.0,0.9191919,0.93141411,0.9568875,0.963959065
75,No Diri,Pitman,Medium,Low,50000,1.0,0.9292929,0.9633508,0.0007987251192237028,0.0044102356305471165,0.002537942669378589,0.9978166,1.0,0.9232323,0.93545451,0.9590766,0.9666498875
76,No Diri,Pitman,Very High,High,10000,0.996115,0.8547954499999999,0.9202166,0.0011516490631401292,0.004044525839830018,0.002489153492861861,0.9936813025000001,0.9968847,0.8487424825000001,0.8598256,0.9156961825,0.9229662
77,No Diri,Pitman,Very High,High,50000,0.99652385,0.86418515,0.9256198,0.001703737006391341,0.0017271358552223663,0.001123460107225134,0.9918340375,0.9969149275,0.8618377,0.8678739,0.9239518624999999,0.927773215
78,No Diri,Pitman,Very High,Low,10000,1.0,0.921762,0.9592884,0.0,0.0011287220787360836,0.0006117788320695781,1.0,1.0,0.9196909799999999,0.9237672225,0.958164585,0.960373065
79,No Diri,Pitman,Very High,Low,50000,1.0,0.9230769,0.96,0.0,0.0012364508484495264,0.0006684903539043015,1.0,1.0,0.921762,0.9250493,0.9592884,0.9610656
80,No Diri,uniform,High,High,10000,1.0,0.804956,0.891886,0.0013421215212451804,0.0029714614205099263,0.0019461608097333892,0.9960449625,1.0,0.8009192825,0.8105915175,0.889127725,0.895388385
81,No Diri,uniform,High,High,50000,1.0,0.8153477,0.8982827,0.0,0.0034256763578775344,0.0020791930737668485,1.0,1.0,0.80971223,0.8209832175,0.8948516950000001,0.9016920575
82,No Diri,uniform,High,Low,10000,1.0,0.9365015999999999,0.9672097,0.0,0.0010645407731802298,0.0005676608480375217,1.0,1.0,0.9353035,0.9384984,0.9665704,0.9682736
83,No Diri,uniform,High,Low,50000,1.0,0.9400958,0.9691231,0.0,0.0019439886116192685,0.0010315327292177274,1.0,1.0,0.9384984,0.9448882,0.9682736,0.9716632
84,No Diri,uniform,Low,High,10000,0.30630905,0.85,0.4503333,0.014718987549737996,0.0,0.01592662094762959,0.27856954250000004,0.3334564875,0.85,0.85,0.41960875,0.478996215
