,model,prior,duplicates_level,distortion_level,num_iter,replicates,precision,recall,f1score
291,Both,uniform,Low,Low,10000,14,0.4,0.952381,0.5633803
292,Both,uniform,Very High,High,10000,14,1.0,0.813548,0.8971893
293,Both,uniform,Medium,High,10000,14,0.9769231,0.7823409,0.8688712
294,Both,uniform,High,Low,10000,14,1.0,0.936901,0.9674227
295,Both,uniform,Medium,Low,10000,14,1.0,0.9292929,0.9633508
296,Both,uniform,Medium,Low,10000,16,0.997807,0.9191919,0.9568875
297,Both,uniform,Very High,Low,10000,16,1.0,0.921762,0.9592884
298,Both,uniform,Very High,High,10000,16,1.0,0.7411133,0.8513097
299,Both,uniform,High,Low,10000,16,1.0,0.9353035,0.9665704
300,Both,uniform,High,High,10000,16,0.9965596,0.6946443,0.8186528
301,Both,uniform,Low,Low,10000,16,0.4285714,0.952381,0.591133
302,Both,uniform,Low,High,10000,16,0.516129,0.8,0.627451
303,Both,uniform,Medium,High,10000,16,0.9811321,0.7474333,0.8484848
304,Both,uniform,Low,High,10000,18,0.4851485,0.8166667,0.6086957
305,Both,uniform,Medium,Low,10000,18,1.0,0.9191919,0.9578947
306,Both,uniform,Medium,High,10000,18,0.9661836,0.8213552,0.8879023
307,Both,uniform,Very High,Low,10000,18,1.0,0.921762,0.9592884
308,Both,uniform,Low,Low,10000,18,0.4166667,0.952381,0.5797101
309,Both,uniform,High,High,10000,18,1.0,0.7130296,0.8324778
310,Both,uniform,High,Low,10000,18,1.0,0.9384984,0.9682736
311,Both,uniform,Very High,High,10000,18,1.0,0.8229376,0.9028698
312,Both,uniform,High,High,10000,20,1.0,0.6650679,0.7988478
313,Both,uniform,Low,Low,10000,20,0.4316547,0.952381,0.5940594
314,Both,uniform,Very High,High,10000,20,1.0,0.6753856,0.806245
315,Both,uniform,Medium,Low,10000,20,1.0,0.9232323,0.960084
316,Both,uniform,Very High,Low,10000,20,1.0,0.9230769,0.96
317,Both,uniform,Low,High,10000,20,0.4848485,0.8,0.6037736
318,Both,uniform,Medium,High,10000,20,0.9741602,0.7741273,0.8627002
319,Both,uniform,High,Low,10000,20,1.0,0.9361022,0.9669967
320,Both,Bounded NBD,High,High,10000,0,1.0,0.6986411,0.8225882
321,Both,Bounded NBD,Low,High,10000,0,1.0,0.75,0.8571429
322,Both,Bounded NBD,Very High,Low,10000,0,1.0,0.921762,0.9592884
323,Both,Bounded NBD,Low,Low,10000,0,0.9836066,0.952381,0.9677419
324,Both,Bounded NBD,Medium,High,10000,0,0.9714286,0.7679671,0.8577982
325,Both,Bounded NBD,Medium,Low,10000,0,1.0,0.9191919,0.9578947
326,Both,Bounded NBD,High,Low,10000,0,1.0,0.936901,0.9674227
327,Both,Bounded NBD,Very High,High,10000,0,1.0,0.8450704,0.9160305
328,Both,Bounded NBD,Medium,Low,10000,2,1.0,0.9292929,0.9633508
329,Both,Bounded NBD,Very High,Low,10000,2,1.0,0.921762,0.9592884
330,Both,Bounded NBD,Low,Low,10000,2,0.9836066,0.952381,0.9677419
331,Both,Bounded NBD,Very High,High,10000,2,0.997555,0.8209256,0.9006623
332,Both,Bounded NBD,High,Low,10000,2,1.0,0.936901,0.9674227
333,Both,Bounded NBD,Low,High,10000,2,1.0,0.7666667,0.8679245
334,Both,Bounded NBD,Medium,High,10000,2,0.9889197,0.7330595,0.8419811
335,Both,Bounded NBD,High,High,10000,2,0.9978947,0.7577938,0.8614266
336,Both,Bounded NBD,High,High,10000,3,1.0,0.6954436,0.8203678
337,Both,Bounded NBD,Low,Low,10000,3,0.9836066,0.952381,0.9677419
338,Both,Bounded NBD,High,Low,10000,3,1.0,0.9337061,0.9657166
339,Both,Bounded NBD,Very High,Low,10000,3,1.0,0.921762,0.9592884
340,Both,Bounded NBD,Medium,Low,10000,3,1.0,0.9272727,0.9622642
341,Both,Bounded NBD,Low,High,10000,3,1.0,0.7666667,0.8679245
342,Both,Bounded NBD,Very High,High,10000,3,1.0,0.8336687,0.9092904
343,Both,Bounded NBD,Medium,High,10000,3,0.9917582,0.7412731,0.8484136
344,Both,Bounded NBD,Medium,Low,10000,5,1.0,0.9232323,0.960084
345,Both,Bounded NBD,Very High,Low,10000,5,1.0,0.9230769,0.96
346,Both,Bounded NBD,Low,Low,10000,5,0.9836066,0.952381,0.9677419
347,Both,Bounded NBD,Very High,High,10000,5,0.9976247,0.8450704,0.9150327
348,Both,Bounded NBD,Low,High,10000,5,1.0,0.7833333,0.8785047
349,Both,Bounded NBD,Medium,High,10000,5,0.9918033,0.7453799,0.8511137
350,Both,Bounded NBD,High,Low,10000,5,1.0,0.936901,0.9674227
351,Both,Bounded NBD,High,High,10000,5,0.9978791,0.7521982,0.857794
352,Both,Bounded NBD,Low,High,10000,7,1.0,0.7333333,0.8461538
353,Both,Bounded NBD,Low,Low,10000,7,0.9836066,0.952381,0.9677419
354,Both,Bounded NBD,Very High,Low,10000,7,1.0,0.921762,0.9592884
355,Both,Bounded NBD,Medium,Low,10000,7,1.0,0.9191919,0.9578947
356,Both,Bounded NBD,Medium,High,10000,7,0.9792746,0.7761807,0.8659794
357,Both,Bounded NBD,High,High,10000,7,0.9979101,0.7633893,0.8650362
358,Both,Bounded NBD,Very High,High,10000,7,0.9952267,0.8390342,0.9104803
359,Both,Bounded NBD,High,Low,10000,7,0.997449,0.936901,0.9662273
360,Both,Bounded NBD,Very High,High,10000,9,1.0,0.8142186,0.897597
361,Both,Bounded NBD,High,Low,10000,9,1.0,0.9337061,0.9657166
362,Both,Bounded NBD,Medium,High,10000,9,0.9890411,0.7412731,0.8474178
363,Both,Bounded NBD,Low,Low,10000,9,0.9836066,0.952381,0.9677419
364,Both,Bounded NBD,Very High,Low,10000,9,1.0,0.921762,0.9592884
365,Both,Bounded NBD,Medium,Low,10000,9,1.0,0.9232323,0.960084
366,Both,Bounded NBD,Low,High,10000,9,1.0,0.75,0.8571429
367,Both,Bounded NBD,High,High,10000,9,1.0,0.7058353,0.8275539
368,Both,Bounded NBD,Medium,Low,10000,11,1.0,0.9191919,0.9578947
369,Both,Bounded NBD,High,Low,10000,11,1.0,0.936901,0.9674227
370,Both,Bounded NBD,Very High,High,10000,11,0.9968454,0.8477532,0.916274
371,Both,Bounded NBD,Low,Low,10000,11,0.9836066,0.952381,0.9677419
372,Both,Bounded NBD,High,High,10000,11,1.0,0.753797,0.8596171
373,Both,Bounded NBD,Very High,Low,10000,11,1.0,0.921762,0.9592884
374,Both,Bounded NBD,Medium,High,10000,11,0.9869792,0.7782341,0.8702641
