,model,cluster_size,num_iter,duplicates,distortion,m1,m2,m3,date
144,Both,2,50000,8,1,0.9919571,0.2957634,0.455665,Wed_Mar__6_05_54_19_2024
145,Both,2,50000,100,1,0.9931818,0.2930919,0.4526152,Tue_Mar__5_19_35_28_2024
146,Both,2,50000,1,1,0.9917355,0.4928131,0.6584362,Tue_Mar__5_22_08_24_2024
147,Both,2,50000,1,1,0.9917355,0.4928131,0.6584362,Wed_Mar__6_03_20_17_2024
148,Both,2,50000,8,1,0.9946237,0.2957634,0.4559458,Tue_Mar__5_13_55_25_2024
149,Both,2,50000,1,1,0.9917355,0.4928131,0.6584362,Wed_Mar__6_00_47_35_2024
150,Both,2,50000,8,1,0.9946092,0.294964,0.4549938,Tue_Mar__5_19_35_26_2024
151,Both,2,50000,100,1,1.0,0.2937626,0.4541213,Wed_Mar__6_00_47_40_2024
152,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Tue_Mar__5_22_08_21_2024
153,Both,2,50000,100,1,0.9977273,0.2944333,0.4546867,Tue_Mar__5_22_08_28_2024
154,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Tue_Mar__5_16_59_57_2024
155,Both,2,50000,100,1,1.0,0.2930919,0.4533195,Wed_Mar__6_05_54_20_2024
156,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Wed_Mar__6_03_20_15_2024
157,Both,2,50000,1,1,0.9917355,0.4928131,0.6584362,Tue_Mar__5_19_35_23_2024
158,Both,2,50000,100,1,1.0,0.2937626,0.4541213,Tue_Mar__5_17_00_12_2024
159,Both,2,50000,8,1,0.9919355,0.294964,0.4547135,Wed_Mar__6_00_47_37_2024
160,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_22_22_2024
161,Both,2,10000,100,0,1.0,0.3136095,0.4774775,Wed_Mar__6_11_44_24_2024
162,Both,2,10000,100,0,1.0,0.312952,0.4767151,Wed_Mar__6_12_07_57_2024
163,Both,2,10000,100,0,1.0,0.3142669,0.4782391,Wed_Mar__6_11_22_28_2024
164,Both,2,10000,1,0,1.0,0.5373737,0.6990802,Wed_Mar__6_12_33_41_2024
165,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_33_36_2024
166,Both,2,10000,1,0,1.0,0.5373737,0.6990802,Wed_Mar__6_12_58_29_2024
167,Both,2,10000,1,0,1.0,0.5353535,0.6973684,Wed_Mar__6_11_44_20_2024
168,Both,2,10000,1,0,1.0,0.5373737,0.6990802,Wed_Mar__6_13_23_59_2024
169,Both,2,10000,8,0,1.0,0.3370607,0.5041816,Wed_Mar__6_12_07_55_2024
170,Both,2,10000,1,0,1.0,0.5373737,0.6990802,Wed_Mar__6_12_07_51_2024
171,Both,2,10000,1,0,1.0,0.5373737,0.6990802,Wed_Mar__6_11_22_24_2024
172,Both,2,10000,8,0,1.0,0.3370607,0.5041816,Wed_Mar__6_12_33_44_2024
173,Both,2,10000,8,0,1.0,0.3370607,0.5041816,Wed_Mar__6_11_44_21_2024
174,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_58_26_2024
175,Both,2,10000,8,0,1.0,0.336262,0.5032875,Wed_Mar__6_11_22_26_2024
176,Both,2,10000,0.1,0,0.9655172,0.8888889,0.9256198,Wed_Mar__6_13_23_58_2024
177,Both,2,10000,0.1,0,0.9655172,0.8888889,0.9256198,Wed_Mar__6_11_44_17_2024
178,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_07_49_2024
179,Both,2,10000,100,0,1.0,0.3142669,0.4782391,Wed_Mar__6_13_24_03_2024
180,Both,2,10000,8,0,1.0,0.3370607,0.5041816,Wed_Mar__6_12_58_35_2024
181,Both,2,10000,100,0,1.0,0.3149244,0.479,Wed_Mar__6_12_33_49_2024
182,Both,2,10000,100,0,1.0,0.3136095,0.4774775,Wed_Mar__6_12_58_36_2024
183,Both,2,10000,8,0,1.0,0.3378594,0.5050746,Wed_Mar__6_13_24_02_2024
184,Both,2,50000,100,1,0.9976852,0.2890677,0.4482579,Tue_Mar__5_17_00_25_2024
185,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Tue_Mar__5_17_00_14_2024
186,Both,2,50000,8,1,0.9945504,0.2917666,0.4511743,Tue_Mar__5_22_11_57_2024
187,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Wed_Mar__6_06_07_39_2024
188,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Tue_Mar__5_22_11_52_2024
189,Both,2,50000,8,1,0.9919786,0.2965627,0.4566154,Tue_Mar__5_17_00_22_2024
190,Both,2,50000,8,1,0.9946092,0.294964,0.4549938,Wed_Mar__6_00_50_12_2024
191,Both,2,50000,100,1,1.0,0.2937626,0.4541213,Wed_Mar__6_00_50_16_2024
192,Both,2,50000,1,1,0.9917012,0.4907598,0.6565934,Tue_Mar__5_17_00_19_2024
193,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Tue_Mar__5_13_55_34_2024
194,Both,2,50000,8,1,0.9919571,0.2957634,0.455665,Wed_Mar__6_06_07_45_2024
195,Both,2,50000,8,1,0.9918478,0.2917666,0.4508956,Wed_Mar__6_03_28_25_2024
196,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Wed_Mar__6_03_28_19_2024
197,Both,2,50000,1,1,0.9917012,0.4907598,0.6565934,Wed_Mar__6_06_07_42_2024
198,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Wed_Mar__6_00_50_07_2024
199,Both,2,50000,1,1,0.9917355,0.4928131,0.6584362,Wed_Mar__6_00_50_10_2024
200,Both,2,50000,8,1,0.9945799,0.2933653,0.4530864,Tue_Mar__5_13_55_40_2024
201,Both,2,50000,100,1,0.9977221,0.2937626,0.453886,Wed_Mar__6_06_07_46_2024
202,Both,2,50000,1,1,0.9958506,0.4928131,0.6593407,Tue_Mar__5_19_35_46_2024
203,Both,2,50000,100,1,1.0,0.2930919,0.4533195,Tue_Mar__5_13_55_41_2024
204,Both,2,50000,1,1,0.9917012,0.4907598,0.6565934,Tue_Mar__5_22_11_55_2024
205,Both,2,50000,100,1,0.9931973,0.2937626,0.4534161,Tue_Mar__5_19_35_51_2024
206,Both,2,50000,1,1,0.9917355,0.4928131,0.6584362,Wed_Mar__6_03_28_22_2024
207,Both,2,50000,0.1,1,1.0,0.7333333,0.8461538,Tue_Mar__5_19_35_44_2024
208,Both,2,50000,100,1,0.9954545,0.2937626,0.453651,Tue_Mar__5_22_11_59_2024
209,Both,2,50000,8,1,0.9972826,0.2933653,0.4533663,Tue_Mar__5_19_35_49_2024
210,Both,2,50000,100,1,0.9931663,0.2924212,0.4518135,Wed_Mar__6_03_28_26_2024
211,Both,2,50000,1,1,0.9958506,0.4928131,0.6593407,Tue_Mar__5_13_55_36_2024
212,Both,2,10000,1,0,1.0,0.5333333,0.6956522,Wed_Mar__6_11_45_07_2024
213,Both,2,10000,1,0,1.0,0.5353535,0.6973684,Wed_Mar__6_12_56_15_2024
214,Both,2,10000,1,0,1.0,0.5373737,0.6990802,Wed_Mar__6_12_06_58_2024
215,Both,2,10000,8,0,1.0,0.3370607,0.5041816,Wed_Mar__6_12_56_19_2024
216,Both,2,10000,100,0,1.0,0.3122945,0.4759519,Wed_Mar__6_12_56_25_2024
217,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_22_50_2024
218,Both,2,10000,1,0,0.9962264,0.5333333,0.6947368,Wed_Mar__6_12_31_44_2024
219,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_31_41_2024
220,Both,2,10000,1,0,1.0,0.5353535,0.6973684,Wed_Mar__6_13_22_25_2024
221,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_06_56_2024
222,Both,2,10000,100,0,1.0,0.3142669,0.4782391,Wed_Mar__6_12_31_47_2024
223,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_56_13_2024
224,Both,2,10000,0.1,0,1.0,0.8888889,0.9411765,Wed_Mar__6_11_45_05_2024
225,Both,2,10000,0.1,0,0.9655172,0.8888889,0.9256198,Wed_Mar__6_13_22_22_2024
226,Both,2,10000,100,0,1.0,0.312952,0.4767151,Wed_Mar__6_11_22_56_2024
227,Both,2,10000,100,0,1.0,0.3142669,0.4782391,Wed_Mar__6_11_45_11_2024
228,Both,2,10000,8,0,1.0,0.336262,0.5032875,Wed_Mar__6_11_45_10_2024
229,Both,2,10000,8,0,1.0,0.3370607,0.5041816,Wed_Mar__6_12_07_00_2024
230,Both,2,10000,100,0,1.0,0.3122945,0.4759519,Wed_Mar__6_13_22_27_2024
231,Both,2,10000,8,0,1.0,0.336262,0.5032875,Wed_Mar__6_12_31_46_2024
232,Both,2,10000,100,0,1.0,0.3142669,0.4782391,Wed_Mar__6_12_07_02_2024
233,Both,2,10000,8,0,1.0,0.3370607,0.5041816,Wed_Mar__6_11_22_55_2024
234,Both,2,10000,8,0,1.0,0.336262,0.5032875,Wed_Mar__6_13_22_27_2024
235,Both,2,10000,1,0,1.0,0.5373737,0.6990802,Wed_Mar__6_11_22_53_2024
236,Both,2,50000,1,1,0.9917355,0.4928131,0.6584362,Tue_Mar__5_17_26_30_2024
237,Both,2,50000,100,1,0.9954233,0.2917505,0.4512448,Tue_Mar__5_17_26_36_2024
238,Both,2,50000,8,1,0.9945946,0.2941647,0.4540407,Tue_Mar__5_17_26_33_2024
239,Both,2,50000,1,1,0.9958678,0.4948665,0.6611797,Wed_Mar__6_01_19_08_2024
240,Both,2,50000,100,1,0.9977273,0.2944333,0.4546867,Tue_Mar__5_22_37_43_2024
241,Both,2,50000,100,1,1.0,0.2957746,0.4565217,Tue_Mar__5_13_56_14_2024
242,Both,2,50000,1,1,0.9917355,0.4928131,0.6584362,Wed_Mar__6_03_55_34_2024
243,Both,2,50000,8,1,0.9946092,0.294964,0.4549938,Wed_Mar__6_01_19_11_2024
244,Both,2,50000,100,1,0.9977117,0.2924212,0.4522822,Wed_Mar__6_01_19_13_2024
245,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Wed_Mar__6_03_55_32_2024
246,Both,2,50000,8,1,0.9945946,0.2941647,0.4540407,Tue_Mar__5_19_59_30_2024
247,Both,2,50000,8,1,0.9946381,0.2965627,0.4568966,Tue_Mar__5_22_37_41_2024
248,Both,2,50000,8,1,0.9918478,0.2917666,0.4508956,Tue_Mar__5_13_56_12_2024
249,Both,2,50000,8,1,0.9946092,0.294964,0.4549938,Wed_Mar__6_03_55_36_2024
250,Both,2,50000,1,1,0.9917695,0.4948665,0.660274,Tue_Mar__5_22_37_39_2024
251,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Wed_Mar__6_06_33_03_2024
252,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Wed_Mar__6_01_19_07_2024
253,Both,2,50000,100,1,0.9954545,0.2937626,0.453651,Wed_Mar__6_06_33_09_2024
254,Both,2,50000,1,1,0.9917695,0.4948665,0.660274,Tue_Mar__5_19_59_27_2024
255,Both,2,50000,8,1,0.9946092,0.294964,0.4549938,Wed_Mar__6_06_33_07_2024
256,Both,2,50000,1,1,0.9917355,0.4928131,0.6584362,Tue_Mar__5_13_56_09_2024
257,Both,2,50000,1,1,0.9918033,0.4969199,0.6621067,Wed_Mar__6_06_33_05_2024
258,Both,2,50000,100,1,1.0,0.2944333,0.4549223,Wed_Mar__6_03_55_39_2024
259,Both,2,50000,100,1,0.9977169,0.2930919,0.4530845,Tue_Mar__5_19_59_31_2024
260,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Tue_Mar__5_19_59_24_2024
261,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Tue_Mar__5_17_26_28_2024
