,model,prior,duplicates_level,distortion_level,num_iter,replicates,precision,recall,f1score
188,Both,Bounded NBD,High,Low,10000,13,1.0,0.9353035,0.9665704
189,Both,Bounded NBD,Very High,Low,10000,13,1.0,0.921762,0.9592884
190,Both,Bounded NBD,Low,Low,10000,13,0.9836066,0.952381,0.9677419
191,Both,Bounded NBD,Medium,Low,10000,13,1.0,0.9292929,0.9633508
192,Both,Bounded NBD,High,Low,10000,15,1.0,0.9353035,0.9665704
193,Both,Bounded NBD,Medium,Low,10000,15,0.997807,0.9191919,0.9568875
194,Both,Bounded NBD,Very High,Low,10000,15,1.0,0.921762,0.9592884
195,Both,Bounded NBD,Low,Low,10000,15,0.9836066,0.952381,0.9677419
196,Both,Bounded NBD,Medium,Low,10000,17,1.0,0.9292929,0.9633508
197,Both,Bounded NBD,Very High,Low,10000,17,1.0,0.921762,0.9592884
198,Both,Bounded NBD,High,Low,10000,17,1.0,0.9353035,0.9665704
199,Both,Bounded NBD,Low,Low,10000,17,0.9836066,0.952381,0.9677419
200,Both,Bounded NBD,Very High,Low,10000,19,1.0,0.9197896,0.9582192
201,Both,Bounded NBD,Medium,Low,10000,19,1.0,0.9191919,0.9578947
202,Both,Bounded NBD,High,Low,10000,19,1.0,0.936901,0.9674227
203,Both,Bounded NBD,Low,Low,10000,19,0.9836066,0.952381,0.9677419
204,Both,Bounded NBD,Low,Low,10000,4,0.9836066,0.952381,0.9677419
205,Both,Bounded NBD,Very High,Low,10000,4,1.0,0.9230769,0.96
206,Both,Bounded NBD,High,Low,10000,4,1.0,0.9384984,0.9682736
207,Both,Bounded NBD,Medium,Low,10000,4,1.0,0.9191919,0.9578947
208,Both,Bounded NBD,High,Low,10000,6,1.0,0.9353035,0.9665704
209,Both,Bounded NBD,Very High,Low,10000,6,1.0,0.921762,0.9592884
210,Both,Bounded NBD,Low,Low,10000,6,0.9836066,0.952381,0.9677419
211,Both,Bounded NBD,Medium,Low,10000,6,1.0,0.9232323,0.960084
212,Both,Bounded NBD,High,Low,10000,8,1.0,0.9353035,0.9665704
213,Both,Bounded NBD,Very High,Low,10000,8,1.0,0.921762,0.9592884
214,Both,Bounded NBD,Medium,Low,10000,8,0.9956427,0.9232323,0.9580713
215,Both,Bounded NBD,Low,Low,10000,8,0.9836066,0.952381,0.9677419
216,Both,Bounded NBD,Low,Low,10000,10,0.9836066,0.952381,0.9677419
217,Both,Bounded NBD,Medium,Low,10000,10,1.0,0.9191919,0.9578947
218,Both,Bounded NBD,High,Low,10000,10,1.0,0.9353035,0.9665704
219,Both,Bounded NBD,Very High,Low,10000,10,1.0,0.921762,0.9592884
220,Both,Bounded NBD,Very High,Low,10000,12,1.0,0.921762,0.9592884
221,Both,Bounded NBD,Low,Low,10000,12,0.9836066,0.952381,0.9677419
222,Both,Bounded NBD,High,Low,10000,12,1.0,0.936901,0.9674227
223,Both,Bounded NBD,Medium,Low,10000,12,1.0,0.9232323,0.960084
224,Both,Bounded NBD,Low,Low,10000,14,0.9836066,0.952381,0.9677419
225,Both,Bounded NBD,High,Low,10000,14,1.0,0.9337061,0.9657166
226,Both,Bounded NBD,Medium,Low,10000,14,1.0,0.9232323,0.960084
227,Both,Bounded NBD,Very High,Low,10000,14,1.0,0.921762,0.9592884
228,Both,Bounded NBD,Low,Low,10000,16,0.9836066,0.952381,0.9677419
229,Both,Bounded NBD,High,Low,10000,16,1.0,0.9353035,0.9665704
230,Both,Bounded NBD,Medium,Low,10000,16,1.0,0.9272727,0.9622642
231,Both,Bounded NBD,Very High,Low,10000,16,1.0,0.921762,0.9592884
232,Both,Bounded NBD,Very High,Low,10000,18,1.0,0.921762,0.9592884
233,Both,Bounded NBD,High,Low,10000,18,1.0,0.9353035,0.9665704
234,Both,Bounded NBD,Medium,Low,10000,18,0.9978308,0.9292929,0.9623431
235,Both,Bounded NBD,Low,Low,10000,18,1.0,0.952381,0.9756098
236,Both,Bounded NBD,High,Low,10000,20,1.0,0.936901,0.9674227
237,Both,Bounded NBD,Very High,Low,10000,20,1.0,0.9230769,0.96
238,Both,Bounded NBD,Medium,Low,10000,20,1.0,0.9232323,0.960084
239,Both,Bounded NBD,Low,Low,10000,20,0.9836066,0.952381,0.9677419
240,No Diri,Pitman,Medium,High,10000,0,0.990566,0.862423,0.9220637
241,No Diri,Pitman,Very High,Low,10000,0,1.0,0.921762,0.9592884
242,No Diri,Pitman,Low,High,10000,0,0.877193,0.8333333,0.8547009
243,No Diri,Pitman,Medium,Low,10000,0,0.9978261,0.9272727,0.9612565
244,No Diri,Pitman,High,Low,10000,0,1.0,0.9353035,0.9665704
245,No Diri,Pitman,Low,Low,10000,0,0.8695652,0.952381,0.9090909
246,No Diri,Pitman,Very High,High,10000,0,0.9968726,0.8551308,0.9205776
247,No Diri,Pitman,Very High,Low,10000,2,1.0,0.921762,0.9592884
248,No Diri,Pitman,Low,Low,10000,2,0.8955224,0.952381,0.9230769
249,No Diri,Pitman,Very High,High,10000,2,0.9968677,0.8537894,0.9197977
250,No Diri,Pitman,Medium,Low,10000,2,0.9978402,0.9333333,0.9645094
251,No Diri,Pitman,High,Low,10000,2,1.0,0.9384984,0.9682736
252,No Diri,Pitman,Low,High,10000,2,0.9090909,0.8333333,0.8695652
253,No Diri,Pitman,Medium,High,10000,2,0.9764151,0.8501027,0.9088913
254,No Diri,Pitman,Low,Low,10000,3,0.8571429,0.952381,0.9022556
255,No Diri,Pitman,High,Low,10000,3,1.0,0.9353035,0.9665704
256,No Diri,Pitman,Medium,High,10000,3,0.9905213,0.8583162,0.919692
257,No Diri,Pitman,Very High,High,10000,3,0.9968847,0.8584842,0.9225225
258,No Diri,Pitman,Low,High,10000,3,0.8928571,0.8333333,0.862069
259,No Diri,Pitman,Medium,Low,10000,3,1.0,0.9232323,0.960084
260,No Diri,Pitman,Very High,Low,10000,3,1.0,0.921762,0.9592884
261,No Diri,Pitman,Low,High,10000,5,0.877193,0.8333333,0.8547009
262,No Diri,Pitman,Very High,High,10000,5,0.9960692,0.8497653,0.9171191
263,No Diri,Pitman,High,Low,10000,5,1.0,0.9337061,0.9657166
264,No Diri,Pitman,Low,Low,10000,5,0.8955224,0.952381,0.9230769
265,No Diri,Pitman,Very High,Low,10000,5,1.0,0.921762,0.9592884
266,No Diri,Pitman,Medium,High,10000,5,0.9882904,0.8665298,0.9234136
267,No Diri,Pitman,Medium,Low,10000,5,1.0,0.9232323,0.960084
268,No Diri,Pitman,Medium,Low,10000,7,1.0,0.9232323,0.960084
269,No Diri,Pitman,Low,Low,10000,7,0.9677419,0.952381,0.96
270,No Diri,Pitman,High,Low,10000,7,1.0,0.9353035,0.9665704
271,No Diri,Pitman,Low,High,10000,7,0.877193,0.8333333,0.8547009
272,No Diri,Pitman,Very High,Low,10000,7,1.0,0.921762,0.9592884
273,No Diri,Pitman,Very High,High,10000,7,0.9968578,0.8511066,0.9182344
274,No Diri,Pitman,Medium,High,10000,7,0.981352,0.8644764,0.919214
275,No Diri,Pitman,Medium,High,10000,9,0.9880383,0.8480493,0.9127072
276,No Diri,Pitman,Very High,High,10000,9,0.995338,0.8591549,0.9222462
277,No Diri,Pitman,High,Low,10000,9,1.0,0.936901,0.9674227
278,No Diri,Pitman,Low,Low,10000,9,0.952381,0.952381,0.952381
279,No Diri,Pitman,Very High,Low,10000,9,1.0,0.921762,0.9592884
280,No Diri,Pitman,Low,High,10000,9,0.8947368,0.85,0.8717949
281,No Diri,Pitman,Medium,Low,10000,9,0.997807,0.9191919,0.9568875
282,No Diri,Pitman,Medium,Low,10000,11,0.997807,0.9191919,0.9568875
283,No Diri,Pitman,Very High,Low,10000,11,1.0,0.921762,0.9592884
284,No Diri,Pitman,High,Low,10000,11,1.0,0.9408946,0.9695473
285,No Diri,Pitman,Medium,High,10000,11,0.9858156,0.8562628,0.9164835
286,No Diri,Pitman,Low,High,10000,11,0.8947368,0.85,0.8717949
287,No Diri,Pitman,Very High,High,10000,11,0.9968774,0.8564722,0.9213564
288,No Diri,Pitman,Low,Low,10000,11,0.8695652,0.952381,0.9090909
289,No Diri,Pitman,Low,High,10000,13,0.8793103,0.85,0.8644068
290,No Diri,Pitman,Medium,High,10000,13,0.9858824,0.8603696,0.9188596
291,No Diri,Pitman,Medium,Low,10000,13,0.9956427,0.9232323,0.9580713
292,No Diri,Pitman,Very High,Low,10000,13,1.0,0.921762,0.9592884
293,No Diri,Pitman,Very High,High,10000,13,0.9960907,0.8544601,0.9198556
294,No Diri,Pitman,High,Low,10000,13,1.0,0.9376997,0.9678483
295,No Diri,Pitman,Low,Low,10000,13,0.8955224,0.952381,0.9230769
296,No Diri,Pitman,High,Low,10000,15,1.0,0.936901,0.9674227
297,No Diri,Pitman,Very High,Low,10000,15,1.0,0.921762,0.9592884
298,No Diri,Pitman,Low,Low,10000,15,0.8571429,0.952381,0.9022556
299,No Diri,Pitman,Low,High,10000,15,0.9090909,0.8333333,0.8695652
300,No Diri,Pitman,Very High,High,10000,15,0.996115,0.8598256,0.9229662
301,No Diri,Pitman,Medium,Low,10000,15,1.0,0.9191919,0.9578947
302,No Diri,Pitman,Medium,High,10000,15,0.9811321,0.8542094,0.9132821
303,No Diri,Pitman,Low,High,10000,17,0.8947368,0.85,0.8717949
304,No Diri,Pitman,Medium,High,10000,17,0.9858156,0.8562628,0.9164835
305,No Diri,Pitman,Medium,Low,10000,17,1.0,0.9191919,0.9578947
306,No Diri,Pitman,Low,Low,10000,17,0.8823529,0.952381,0.9160305
307,No Diri,Pitman,High,Low,10000,17,1.0,0.9353035,0.9665704
308,No Diri,Pitman,Very High,High,10000,17,0.9968553,0.8504359,0.9178429
309,No Diri,Pitman,Very High,Low,10000,17,1.0,0.9178172,0.9571478
310,No Diri,Pitman,Medium,Low,10000,19,1.0,0.9232323,0.960084
311,No Diri,Pitman,Very High,High,10000,19,0.9929356,0.8484239,0.915009
312,No Diri,Pitman,Low,High,10000,19,0.9090909,0.8333333,0.8695652
313,No Diri,Pitman,Medium,High,10000,19,0.9788235,0.8542094,0.9122807
314,No Diri,Pitman,Low,Low,10000,19,0.8695652,0.952381,0.9090909
315,No Diri,Pitman,Very High,Low,10000,19,1.0,0.9230769,0.96
316,No Diri,Pitman,High,Low,10000,19,1.0,0.9353035,0.9665704
317,No Diri,Pitman,Very High,Low,10000,4,1.0,0.921762,0.9592884
318,No Diri,Pitman,Very High,High,10000,4,0.9945568,0.8578135,0.9211379
319,No Diri,Pitman,Low,High,10000,4,0.9259259,0.8333333,0.877193
320,No Diri,Pitman,Low,Low,10000,4,0.8823529,0.952381,0.9160305
321,No Diri,Pitman,Medium,Low,10000,4,1.0,0.9232323,0.960084
322,No Diri,Pitman,High,Low,10000,4,1.0,0.9392971,0.9686985
323,No Diri,Pitman,Medium,High,10000,4,0.9881797,0.8583162,0.9186813
324,No Diri,Pitman,Medium,Low,10000,6,0.997807,0.9191919,0.9568875
325,No Diri,Pitman,Very High,High,10000,6,0.9968847,0.8584842,0.9225225
326,No Diri,Pitman,Very High,Low,10000,6,1.0,0.921762,0.9592884
327,No Diri,Pitman,Low,Low,10000,6,0.8695652,0.952381,0.9090909
328,No Diri,Pitman,Medium,High,10000,6,0.9790698,0.8644764,0.9182116
329,No Diri,Pitman,Low,High,10000,6,0.8928571,0.8333333,0.862069
330,No Diri,Pitman,High,Low,10000,6,1.0,0.936901,0.9674227
331,No Diri,Pitman,Low,High,10000,8,0.8928571,0.8333333,0.862069
332,No Diri,Pitman,High,Low,10000,8,1.0,0.9353035,0.9665704
333,No Diri,Pitman,Medium,High,10000,8,0.985782,0.8542094,0.9152915
334,No Diri,Pitman,Low,Low,10000,8,0.8823529,0.952381,0.9160305
335,No Diri,Pitman,Very High,High,10000,8,0.994561,0.8584842,0.9215263
336,No Diri,Pitman,Very High,Low,10000,8,1.0,0.921762,0.9592884
337,No Diri,Pitman,Medium,Low,10000,8,1.0,0.9191919,0.9578947
338,No Diri,Pitman,Low,High,10000,10,0.8928571,0.8333333,0.862069
339,No Diri,Pitman,High,Low,10000,10,1.0,0.9353035,0.9665704
340,No Diri,Pitman,Low,Low,10000,10,0.8695652,0.952381,0.9090909
341,No Diri,Pitman,Medium,Low,10000,10,1.0,0.9232323,0.960084
342,No Diri,Pitman,Very High,Low,10000,10,1.0,0.9243918,0.9607106
343,No Diri,Pitman,Very High,High,10000,10,0.9968504,0.8490946,0.917059
344,No Diri,Pitman,Medium,High,10000,10,0.9905213,0.8583162,0.919692
345,No Diri,Pitman,Very High,High,10000,12,0.996115,0.8598256,0.9229662
346,No Diri,Pitman,Low,Low,10000,12,0.8695652,0.952381,0.9090909
347,No Diri,Pitman,High,Low,10000,12,1.0,0.9353035,0.9665704
348,No Diri,Pitman,Medium,High,10000,12,0.9834515,0.8542094,0.9142857
349,No Diri,Pitman,Low,High,10000,12,0.8928571,0.8333333,0.862069
350,No Diri,Pitman,Very High,Low,10000,12,1.0,0.921762,0.9592884
351,No Diri,Pitman,Medium,Low,10000,12,1.0,0.9232323,0.960084
352,No Diri,Pitman,Very High,High,10000,14,0.9968799,0.8571429,0.9217454
353,No Diri,Pitman,Medium,High,10000,14,0.9810875,0.8521561,0.9120879
354,No Diri,Pitman,High,Low,10000,14,1.0,0.9408946,0.9695473
355,No Diri,Pitman,Low,Low,10000,14,0.8695652,0.952381,0.9090909
356,No Diri,Pitman,Low,High,10000,14,0.877193,0.8333333,0.8547009
357,No Diri,Pitman,Very High,Low,10000,14,1.0,0.921762,0.9592884
358,No Diri,Pitman,Medium,Low,10000,14,1.0,0.9292929,0.9633508
359,No Diri,Pitman,Low,High,10000,16,0.877193,0.8333333,0.8547009
360,No Diri,Pitman,Very High,Low,10000,16,1.0,0.921762,0.9592884
