,model,prior,duplicates_level,distortion_level,precision,recall,f1score,date
792,No Empiri,BNBD4,Very High,Low,1.0,0.9538297,0.9763693,Mon_Feb_12_10_13_36_2024
793,No Empiri,BNBD4,Very High,Low,1.0,0.9538297,0.9763693,Wed_Mar__6_22_22_54_2024
794,No Empiri,BNBD4,Very High,Low,1.0,0.9534294,0.9761596,Fri_Mar__8_06_38_59_2024
795,No Empiri,BNBD4,Very High,Low,1.0,0.9542301,0.976579,Fri_Mar__8_10_50_37_2024
796,No Empiri,BNBD4,Very High,Low,1.0,0.9542301,0.976579,Wed_Mar__6_22_23_08_2024
797,No Empiri,BNBD4,Very High,Low,1.0,0.9530291,0.9759497,Sun_Mar_10_04_22_51_2024
798,No Empiri,BNBD4,Very High,Low,1.0,0.9534294,0.9761596,Wed_Mar__6_22_23_02_2024
799,No Empiri,BNBD4,Very High,Low,1.0,0.9542301,0.976579,Fri_Mar_15_21_23_10_2024
800,No Empiri,Pitman,High,High,0.993079,0.8886707,0.9379783,Wed_Mar__6_21_57_44_2024
801,No Empiri,Pitman,High,High,0.9939292,0.8903323,0.9392829,Fri_Mar__8_22_54_14_2024
802,No Empiri,Pitman,High,High,0.9935811,0.8885196,0.938118,Mon_Feb_12_10_08_10_2024
803,No Empiri,Pitman,High,High,0.9964449,0.8891239,0.9397302,Wed_Mar__6_21_57_44_2024
804,No Empiri,Pitman,High,High,0.9914011,0.8882175,0.9369771,Fri_Mar__8_13_57_26_2024
805,No Empiri,Pitman,High,High,0.9949324,0.8897281,0.9393939,Wed_Mar__6_22_25_57_2024
806,No Empiri,Pitman,High,High,0.9935876,0.889426,0.9386259,Fri_Mar__8_14_37_25_2024
807,No Empiri,Pitman,High,High,0.9927609,0.8907855,0.9390127,Wed_Mar_13_00_42_35_2024
808,No Empiri,Pitman,High,High,0.9954261,0.8876133,0.9384333,Thu_Mar__7_21_00_02_2024
809,No Empiri,Pitman,High,High,0.9942587,0.889426,0.9389252,Wed_Mar__6_22_25_54_2024
810,No Empiri,Pitman,High,Low,1.0,0.9523089,0.9755719,Wed_Mar__6_21_57_23_2024
