,model,cluster_size,num_iter,duplicates_level,distortion_level,precision,recall,f1score,date
109,Both,2,10000,Medium,Low,0.9962406,0.5353535,0.696452,Wed_Mar__6_11_44_11_2024
113,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_12_55_21_2024
118,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_13_21_23_2024
121,Both,2,10000,Medium,Low,1.0,0.5393939,0.7007874,Wed_Mar__6_12_05_47_2024
123,Both,2,10000,Medium,Low,0.9962547,0.5373737,0.6981627,Wed_Mar__6_11_22_06_2024
128,Both,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_12_30_02_2024
164,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_12_33_41_2024
166,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_12_58_29_2024
167,Both,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_11_44_20_2024
168,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_13_23_59_2024
170,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_12_07_51_2024
171,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_11_22_24_2024
212,Both,2,10000,Medium,Low,1.0,0.5333333,0.6956522,Wed_Mar__6_11_45_07_2024
213,Both,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_12_56_15_2024
214,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_12_06_58_2024
218,Both,2,10000,Medium,Low,0.9962264,0.5333333,0.6947368,Wed_Mar__6_12_31_44_2024
220,Both,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_13_22_25_2024
235,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_11_22_53_2024
270,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_11_23_04_2024
272,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_13_45_21_2024
276,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_12_33_47_2024
277,Both,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_12_08_52_2024
280,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_11_45_44_2024
286,Both,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_13_00_25_2024
288,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_13_23_05_2024
322,Both,2,10000,Medium,Low,1.0,0.5333333,0.6956522,Wed_Mar__6_11_46_32_2024
326,Both,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_12_32_42_2024
328,Both,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_12_21_09_2024
329,Both,2,10000,Medium,Low,0.9962547,0.5373737,0.6981627,Wed_Mar__6_11_34_29_2024
332,Both,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_11_23_08_2024
333,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_12_09_36_2024
338,Both,2,10000,Medium,Low,0.9962406,0.5353535,0.696452,Wed_Mar__6_11_58_15_2024
378,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_11_35_37_2024
381,Both,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_11_47_44_2024
392,Both,2,10000,Medium,Low,1.0,0.5333333,0.6956522,Wed_Mar__6_11_59_48_2024
394,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_12_35_38_2024
395,Both,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_12_11_27_2024
8,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_12_57_01_2024
9,Both,2,10000,Very High,Low,1.0,0.3122945,0.4759519,Wed_Mar__6_12_25_15_2024
10,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_14_05_27_2024
11,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_11_22_02_2024
18,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_11_53_39_2024
19,Both,2,10000,Very High,Low,1.0,0.312952,0.4767151,Wed_Mar__6_13_31_35_2024
48,Both,2,10000,Very High,Low,1.0,0.312952,0.4767151,Wed_Mar__6_11_22_52_2024
56,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_12_50_31_2024
58,Both,2,10000,Very High,Low,1.0,0.3149244,0.479,Wed_Mar__6_11_56_59_2024
64,Both,2,10000,Very High,Low,1.0,0.312952,0.4767151,Wed_Mar__6_13_58_00_2024
70,Both,2,10000,Very High,Low,1.0,0.3122945,0.4759519,Wed_Mar__6_13_13_04_2024
72,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_12_25_16_2024
77,Both,2,10000,Very High,Low,1.0,0.3136095,0.4774775,Wed_Mar__6_13_35_32_2024
108,Both,2,10000,Very High,Low,1.0,0.312952,0.4767151,Wed_Mar__6_12_55_29_2024
114,Both,2,10000,Very High,Low,1.0,0.3136095,0.4774775,Wed_Mar__6_13_21_28_2024
117,Both,2,10000,Very High,Low,1.0,0.3116371,0.475188,Wed_Mar__6_12_30_08_2024
122,Both,2,10000,Very High,Low,1.0,0.312952,0.4767151,Wed_Mar__6_11_44_15_2024
124,Both,2,10000,Very High,Low,1.0,0.312952,0.4767151,Wed_Mar__6_11_22_08_2024
125,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_12_05_54_2024
161,Both,2,10000,Very High,Low,1.0,0.3136095,0.4774775,Wed_Mar__6_11_44_24_2024
162,Both,2,10000,Very High,Low,1.0,0.312952,0.4767151,Wed_Mar__6_12_07_57_2024
163,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_11_22_28_2024
179,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_13_24_03_2024
181,Both,2,10000,Very High,Low,1.0,0.3149244,0.479,Wed_Mar__6_12_33_49_2024
182,Both,2,10000,Very High,Low,1.0,0.3136095,0.4774775,Wed_Mar__6_12_58_36_2024
216,Both,2,10000,Very High,Low,1.0,0.3122945,0.4759519,Wed_Mar__6_12_56_25_2024
222,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_12_31_47_2024
226,Both,2,10000,Very High,Low,1.0,0.312952,0.4767151,Wed_Mar__6_11_22_56_2024
227,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_11_45_11_2024
230,Both,2,10000,Very High,Low,1.0,0.3122945,0.4759519,Wed_Mar__6_13_22_27_2024
232,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_12_07_02_2024
264,Both,2,10000,Very High,Low,1.0,0.312952,0.4767151,Wed_Mar__6_12_09_00_2024
