,model,prior,duplicates_level,distortion_level,precision_median,recall_median,f1score_median,precision_lower_bound,precision_upper_bound,recall_lower_bound,recall_upper_bound,f1score_lower_bound,f1score_upper_bound
62,No Diri,Pitman,Very High,High,0.9963606,0.8025754,0.8887902999999999,0.995074595,0.9980590075,0.8010708375,0.806875535,0.888060135,0.8918245725
63,No Diri,Pitman,Very High,Low,1.0,0.9540299,0.9763693,0.9994407,1.0,0.9538297,0.9549406325,0.9761027,0.97695104
64,No Diri,Uniform,High,High,0.9988166,0.6371601,0.7780492999999999,0.998629525,0.9990543475,0.6356495,0.64139728,0.7768298325,0.7811817625
65,No Diri,Uniform,High,Low,1.0,0.9495079,0.9741001,1.0,1.0,0.9487092650000001,0.9501893,0.973679655,0.9744585
66,No Diri,Uniform,Low,High,0.27800795,0.7990431,0.4128149,0.2760331,0.28849078,0.7990431,0.8027512425,0.4103194,0.4239181575
67,No Diri,Uniform,Low,Low,0.2828577,0.9519231,0.4361239,0.2770621025,0.29061315249999997,0.9519231,0.9519231,0.4292016475,0.4452783975
68,No Diri,Uniform,Medium,High,0.9751763499999999,0.73612395,0.83917745,0.9730796025,0.9780790025,0.7355342625,0.7387141275,0.8378616225,0.8403633025
69,No Diri,Uniform,Medium,Low,0.9922556,0.9530451,0.9722552,0.9904023750000001,0.99444446,0.9510344075,0.9572175775,0.9711601550000001,0.9749446525
70,No Diri,Uniform,Very High,High,0.9993467,0.611289,0.7585693,0.9988418125,0.99973252,0.6093641725,0.613127185,0.75715657,0.75988475
71,No Diri,Uniform,Very High,Low,1.0,0.9527622,0.9758098,1.0,1.0,0.9518581374999999,0.9539632,0.9753353725,0.9764393
72,No Empiri,BNBD4,High,High,0.9961725,0.8246223500000001,0.9024895,0.994104465,0.9975589675000001,0.8214388324999999,0.8286669025,0.9003016075,0.9046954775
73,No Empiri,BNBD4,High,Low,1.0,0.9510977,0.974936,0.99987662,1.0,0.9500567475,0.951517835,0.9743887725,0.97515669
74,No Empiri,BNBD4,Low,High,0.9617834,0.7272727,0.8260818,0.9450854875,0.9620253,0.722488,0.7309808425,0.8189286,0.8283379
75,No Empiri,BNBD4,Low,Low,0.97778375,0.9519231,0.96467865,0.967994755,0.9851318725,0.9519231,0.9556490675,0.9598876049999999,0.9701654875
76,No Empiri,BNBD4,Medium,High,0.97910915,0.726642,0.83399745,0.9751342475,0.98302514,0.7226873475,0.729671575,0.8302851125,0.8373936925000001
77,No Empiri,BNBD4,Medium,Low,0.9970976,0.9574616499999999,0.9768766,0.99613656,0.9980617175000001,0.9550093025,0.9599139975000001,0.97551974,0.9777438375
78,No Empiri,BNBD4,Very High,High,0.99709185,0.8214572,0.9007901,0.99647952,0.9979861675,0.8196790675,0.82464308,0.899792755,0.902795875
79,No Empiri,BNBD4,Very High,Low,1.0,0.9538297,0.9763693,1.0,1.0,0.9531191674999999,0.9542301,0.9759969275,0.976579
80,No Empiri,Pitman,High,High,0.9937583999999999,0.88927495,0.93877555,0.991707055,0.99621567,0.8877492450000001,0.89068353,0.9372023700000001,0.9396545325
81,No Empiri,Pitman,High,Low,1.0,0.9515519,0.9751746,1.0,1.0,0.9507949,0.95254357,0.9747769,0.9756950475
82,No Empiri,Pitman,Low,High,0.52259055,0.8373206,0.64392095,0.5196355375,0.54645529,0.8288277575,0.850598065,0.6408048025,0.66485351
83,No Empiri,Pitman,Low,Low,0.9683037999999999,0.95432695,0.9613527,0.962365425,0.983977365,0.9519231,0.9604567675,0.9588378,0.96775809
84,No Empiri,Pitman,Medium,High,0.9414287,0.86933395,0.90410295,0.932724055,0.9487757250000001,0.86756471,0.8713113149999999,0.90057674,0.9077786600000001
85,No Empiri,Pitman,Medium,Low,0.9949532999999999,0.962808,0.9785073,0.99290709,0.9967876274999999,0.961157605,0.9637378,0.9769312375,0.9795596125
86,No Empiri,Pitman,Very High,High,0.9929695000000001,0.87710165,0.9316281500000001,0.992390725,0.9953869975,0.87542703,0.878983195,0.9303583950000001,0.933235335
87,No Empiri,Pitman,Very High,Low,1.0,0.95463035,0.97676005,0.9995671625,1.0,0.9537863675,0.9556078325,0.976346605,0.977300085
88,No Empiri,Uniform,High,High,0.9978176000000001,0.8292296,0.90574595,0.9968435875,0.9980016425,0.82595169,0.8305287325,0.9034363125,0.906579735
89,No Empiri,Uniform,High,Low,1.0,0.9495836,0.9741399,1.0,1.0,0.9485238,0.9507267699999999,0.973582,0.9747410799999999
90,No Empiri,Uniform,Low,High,0.1726619,0.8086124,0.284264,0.1707317,0.17438493,0.8038278,0.8086124,0.2816429,0.28689747
91,No Empiri,Uniform,Low,Low,0.1939573,0.9567308,0.32252855,0.1924984175,0.19582276499999998,0.9567308,0.9567308,0.320508995,0.325103685
92,No Empiri,Uniform,Medium,High,0.94507845,0.82701205,0.88193885,0.94198111,0.9488507475,0.8235198475,0.83178769,0.8801744775,0.8852340125
93,No Empiri,Uniform,Medium,Low,0.99516555,0.958159,0.9763089,0.9943208625,0.9956582375,0.9568689025,0.9599139975000001,0.9756412299999999,0.9773562650000001
94,No Empiri,Uniform,Very High,High,0.9999176000000001,0.8085135,0.8940534,0.99983459,1.0,0.8059347674999999,0.81002471,0.8925402375,0.89504271
95,No Empiri,Uniform,Very High,Low,1.0,0.95296235,0.9759147,1.0,1.0,0.9521850675,0.9541400099999999,0.9755069725000001,0.9765318175
