,model,prior,duplicates_level,distortion_level,replicates,precision,recall,f1score,date,num_iter
215,Both,Pitman,Low,Low,47,0.9836066,0.952381,0.9677419,Wed_Feb_28_20_31_11_2024,
216,Both,Pitman,Very High,Low,48,1.0,0.921762,0.9592884,Wed_Feb_28_20_31_44_2024,
217,Both,Pitman,Medium,Low,48,1.0,0.9292929,0.9633508,Wed_Feb_28_20_31_39_2024,
218,Both,Pitman,Medium,High,48,0.9917127,0.7371663,0.8457008,Thu_Feb_29_16_22_36_2024,
219,Both,Pitman,Low,High,48,1.0,0.75,0.8571429,Thu_Feb_29_16_22_34_2024,
220,Both,Pitman,High,High,48,1.0,0.6770584,0.8074357,Thu_Feb_29_16_22_39_2024,
221,Both,Pitman,Low,Low,48,0.9836066,0.952381,0.9677419,Wed_Feb_28_20_31_36_2024,
222,Both,Pitman,Very High,High,48,0.9971989,0.7162978,0.8337237,Thu_Feb_29_16_22_40_2024,
223,Both,Pitman,High,Low,48,1.0,0.9353035,0.9665704,Wed_Feb_28_20_31_41_2024,
224,Both,Pitman,Medium,High,49,0.9889807,0.7371663,0.8447059,Thu_Feb_29_16_26_01_2024,
225,Both,Pitman,High,Low,49,1.0,0.9408946,0.9695473,Wed_Feb_28_21_00_04_2024,
226,Both,Pitman,High,High,49,1.0,0.6802558,0.809705,Thu_Feb_29_16_26_03_2024,
227,Both,Pitman,Very High,High,49,1.0,0.7142857,0.8333333,Thu_Feb_29_16_26_05_2024,
228,Both,Pitman,Medium,Low,49,1.0,0.9232323,0.960084,Wed_Feb_28_21_00_01_2024,
229,Both,Pitman,Very High,Low,49,1.0,0.921762,0.9592884,Wed_Feb_28_21_00_05_2024,
230,Both,Pitman,Low,Low,49,0.9836066,0.952381,0.9677419,Wed_Feb_28_20_59_59_2024,
231,Both,Pitman,Low,High,49,1.0,0.75,0.8571429,Thu_Feb_29_16_26_00_2024,
232,Both,Pitman,Very High,Low,50,1.0,0.921762,0.9592884,Wed_Feb_28_21_01_28_2024,
233,Both,Pitman,Low,High,50,1.0,0.7333333,0.8461538,Wed_Feb_28_21_33_24_2024,
234,Both,Pitman,Medium,High,50,0.989011,0.7392197,0.8460635,Wed_Feb_28_21_33_26_2024,
235,Both,Pitman,Very High,High,50,1.0,0.8075117,0.8935065,Wed_Feb_28_21_33_30_2024,
236,Both,Pitman,Low,Low,50,1.0,0.952381,0.9756098,Wed_Feb_28_21_01_19_2024,
237,Both,Pitman,Medium,Low,50,1.0,0.9191919,0.9578947,Wed_Feb_28_21_01_22_2024,
238,Both,Pitman,High,Low,50,1.0,0.9376997,0.9678483,Wed_Feb_28_21_01_26_2024,
239,Both,Pitman,High,High,50,1.0,0.6858513,0.8136558,Wed_Feb_28_21_33_29_2024,
240,Both,uniform,High,High,21,1.0,0.6434852,0.7830739,Wed_Feb_28_21_47_31_2024,
241,Both,uniform,Very High,High,21,1.0,0.8162307,0.8988183,Tue_Feb__6_20_12_34_2024,
242,Both,uniform,Low,High,21,0.5106383,0.8,0.6233766,Wed_Feb_28_21_47_22_2024,
243,Both,uniform,High,Low,21,1.0,0.9384984,0.9682736,Tue_Feb__6_20_12_20_2024,
244,Both,uniform,Medium,High,21,0.9778325,0.8151951,0.8891377,Tue_Feb__6_20_12_32_2024,
245,Both,uniform,Very High,Low,21,1.0,0.9197896,0.9582192,Tue_Feb__6_20_12_24_2024,
246,Both,uniform,Low,Low,21,0.3947368,0.952381,0.5581395,Tue_Feb__6_20_12_13_2024,
247,Both,uniform,Medium,Low,21,1.0,0.9232323,0.960084,Tue_Feb__6_20_12_18_2024,
248,Both,uniform,Low,Low,22,0.4,0.952381,0.5633803,Tue_Feb__6_22_19_43_2024,
249,Both,uniform,Medium,Low,22,1.0,0.9292929,0.9633508,Tue_Feb__6_22_19_50_2024,
250,Both,uniform,Low,High,22,0.5157895,0.8166667,0.6322581,Tue_Feb__6_22_20_07_2024,
251,Both,uniform,High,Low,22,1.0,0.9353035,0.9665704,Tue_Feb__6_22_19_49_2024,
252,Both,uniform,Medium,High,22,0.9864499,0.7474333,0.8504673,Thu_Feb_29_09_39_42_2024,
253,Both,uniform,Very High,High,22,1.0,0.6639839,0.7980653,Thu_Feb_29_09_39_46_2024,
254,Both,uniform,High,High,22,1.0,0.6530775,0.7901354,Thu_Feb_29_09_39_44_2024,
255,Both,uniform,Very High,Low,22,1.0,0.921762,0.9592884,Tue_Feb__6_22_20_01_2024,
256,Both,uniform,Medium,Low,23,1.0,0.9252525,0.9611752,Tue_Feb__6_21_30_33_2024,
257,Both,uniform,High,High,23,1.0,0.6458833,0.784847,Thu_Feb_29_12_45_20_2024,
